cdk,district_name,year,geometry_ref,area_sqkm
ML_jainti_1981,Jaintia Hills,2011,ML_jainti_1981_geometry,0.0
MP_morena_1991,Morena,1991,MP_morena_1991_geometry,0.0
KA_bellar_2011,Ballari,2024,KA_bellar_2011_geometry,0.0
HP_lahuls_2011,Lahul & Spiti,2011,HP_lahuls_2011_geometry,0.0
AS_souths_2024,South Salmara-Mankachar,2024,AS_souths_2024_geometry,0.0
ML_eastga_1981,East Garo Hills,2011,ML_eastga_1981_geometry,0.0
GJ_sabark_1961,Sabarkantha,1961,GJ_sabark_1961_geometry,0.0
CG_rajnan_1981,Rajnandgaon,2001,CG_rajnan_1981_geometry,0.0
AS_golagh_1991,Golaghat,1991,AS_golagh_1991_geometry,0.0
MH_nasik_1971,Nasik,1971,MH_nasik_1971_geometry,0.0
MN_imphal_1991,Imphal,1991,MN_imphal_1991_geometry,0.0
MP_jabalp_1991,Jabalpur,1991,MP_jabalp_1991_geometry,0.0
AS_united_1961,United Mikir and North Cachar Hills,1961,AS_united_1961_geometry,0.0
AP_vizian_1981,Vizianagaram,2011,AP_vizian_1981_geometry,0.0
AS_sonitp_1991,Sonitpur,1991,AS_sonitp_1991_geometry,0.0
MP_narmad_1951,Hoshangabad,1951,MP_narmad_1951_geometry,0.0
MZ_mizora_1951,Lushai Hills,1951,MZ_mizora_1951_geometry,0.0
MP_umaria_2001,Umaria,2001,MP_umaria_2001_geometry,0.0
GJ_ahmeda_1961,Ahmadabad,2011,GJ_ahmeda_1961_geometry,0.0
WB_dakshi_1991,Dakshin Dinajpur,2001,WB_dakshi_1991_geometry,0.0
NL_tuensa_1951,Tuensang,2011,NL_tuensa_1951_geometry,0.0
GJ_jamnag_1951,Halar,1951,GJ_jamnag_1951_geometry,0.0
KA_uttark_1951,Kanara,1951,KA_uttark_1951_geometry,0.0
JH_ranchi_1981,Ranchi,2001,JH_ranchi_1981_geometry,0.0
AN_nicoba_1981,Nicobar,1981,AN_nicoba_1981_geometry,0.0
JH_palamu_1971,Palamu,2001,JH_palamu_1971_geometry,0.0
CG_kaward_2001,Kawardha,2001,CG_kaward_2001_geometry,0.0
MP_khandw_1961,East Nimar,1981,MP_khandw_1961_geometry,0.0
MP_nimar_1951,Nimar,1951,MP_nimar_1951_geometry,0.0
AR_westsi_1981,West Siang,2011,AR_westsi_1981_geometry,0.0
AS_baksa_2011,Baksa,2011,AS_baksa_2011_geometry,0.0
AS_nalbar_1991,Nalbari,1991,AS_nalbar_1991_geometry,0.0
UP_ayodhy_1991,Faizabad,1991,UP_ayodhy_1991_geometry,0.0
WB_medini_1951,Midnapore,1971,WB_medini_1951_geometry,0.0
KA_gulbar_2001,Gulbarga,2011,KA_gulbar_2001_geometry,0.0
KL_alappu_1961,Alappuzha,1991,KL_alappu_1961_geometry,0.0
AS_barpet_1991,Barpeta,2011,AS_barpet_1991_geometry,0.0
UP_allaha_1951,Allahabad,2011,UP_allaha_1951_geometry,0.0
AR_papump_2001,Papum Pare,2001,AR_papump_2001_geometry,0.0
OD_cuttac_1991,Cuttack,1991,OD_cuttac_1991_geometry,0.0
JK_gander_2011,Ganderbal,2011,JK_gander_2011_geometry,0.0
MH_mumbai_1951,Mumbai,2001,MH_mumbai_1951_geometry,0.0
AP_srikak_1971,Srikakulam,2011,AP_srikak_1971_geometry,0.0
MZ_lawngt_2001,Lawngtlai,2001,MZ_lawngt_2001_geometry,0.0
TR_dhalai_2001,Dhalai,2001,TR_dhalai_2001_geometry,0.0
MH_sambha_2024,Sambhaji Nagar,2024,MH_sambha_2024_geometry,0.0
WB_kolkat_1951,Kolkata,2001,WB_kolkat_1951_geometry,0.0
MP_sidhi_2001,Sidhi,2001,MP_sidhi_2001_geometry,0.0
CH_chandi_1971,Chandigarh,1971,CH_chandi_1971_geometry,0.0
AS_sivasa_1981,Sibsagar,2001,AS_sivasa_1981_geometry,0.0
NC_west_2001,West,2001,NC_west_2001_geometry,0.0
KL_kollam_1951,Kollam,1991,KL_kollam_1951_geometry,0.0
MH_bhanda_1991,Bhandara,1991,MH_bhanda_1991_geometry,0.0
GJ_anand_2001,Anand,2001,GJ_anand_2001_geometry,0.0
OD_kandha_2001,Kandhamal,2001,OD_kandha_2001_geometry,0.0
NL_kohima_1951,Naga Hills,1951,NL_kohima_1951_geometry,0.0
MN_ukhrul_1991,Ukhrul,1991,MN_ukhrul_1991_geometry,0.0
AS_bajali_2024,Bajali,2024,AS_bajali_2024_geometry,0.0
UP_mahoba_2001,Mahoba,2001,UP_mahoba_2001_geometry,0.0
AR_aborhi_1951,Abor Hills,1951,AR_aborhi_1951_geometry,0.0
UP_agra_1981,Agra,1981,UP_agra_1981_geometry,0.0
GJ_dangs_1961,Dangs,1961,GJ_dangs_1961_geometry,0.0
AR_eastsi_1981,East Siang,1991,AR_eastsi_1981_geometry,0.0
KA_chitra_1951,Chitradurga,1991,KA_chitra_1951_geometry,0.0
JH_chatra_2001,Chatra,2001,JH_chatra_2001_geometry,0.0
JK_jammu_1961,Jammu,2001,JK_jammu_1961_geometry,0.0
GJ_panchm_1951,Panch Mahals,1951,GJ_panchm_1951_geometry,0.0
AR_uppers_1981,Upper Subansiri,1981,AR_uppers_1981_geometry,0.0
KA_chitra_1951,Chitaldrug,1951,KA_chitra_1951_geometry,0.0
PB_ropar_1971,Ropar,1971,PB_ropar_1971_geometry,0.0
KL_kannur_1961,Cannanore,1961,KL_kannur_1961_geometry,0.0
TN_madura_1951,Madurai,1991,TN_madura_1951_geometry,0.0
MP_chhind_1951,Chhindwara,1951,MP_chhind_1951_geometry,0.0
GJ_panchm_1951,Panch Mahals,1971,GJ_panchm_1951_geometry,0.0
