source_district,dest_district,source_year,dest_year,filter_state,confidence_score,census_code_2011,split_type,notification_date
Mahasu,Shimla,1971,1981,Himachal Pradesh,High,Pending,Bifurcation,1981
Mahasu,Shimla,1971,1981,Himachal Pradesh,High,Pending,Bifurcation,1981
Simla,Solan,1971,1981,Himachal Pradesh,High,Pending,Bifurcation,1981
Sirmoor,Sirmur,1951,1961,Himachal Pradesh,High,Pending,Bifurcation,1961
Sirmur,Sirmaur,1961,1971,Himachal Pradesh,High,Pending,Bifurcation,1971
Ambala,Yamunanagar,1981,1991,Haryana,High,Pending,Bifurcation,1991
Ambala,Panchkula,1991,2001,Haryana,High,Pending,Bifurcation,2001
Bhiwani,Charkhi Dadri,2011,2024,Haryana,High,Pending,Bifurcation,2024
Faridabad,Palwal,2001,2011,Haryana,High,Pending,Bifurcation,2011
Gurgaon,Mahendragarh,1971,1981,Haryana,High,Pending,Bifurcation,1981
Gurgaon,Faridabad,1971,1981,Haryana,High,Pending,Bifurcation,1981
Gurgaon,Faridabad,1971,1981,Haryana,High,Pending,Bifurcation,1981
Gurgaon,Mewat,2001,2011,Haryana,High,Pending,Bifurcation,2011
Gurgaon,Gurugram,2011,2024,Haryana,High,Pending,Bifurcation,2024
Hisar,Sirsa,1971,1981,Haryana,High,Pending,Bifurcation,1981
Hisar,Bhiwani,1971,1981,Haryana,High,Pending,Bifurcation,1981
Hisar,Bhiwani,1971,1981,Haryana,High,Pending,Bifurcation,1981
Hisar,Fatehabad,1991,2001,Haryana,High,Pending,Bifurcation,2001
Hissar,Hisar,1961,1971,Haryana,High,Pending,Bifurcation,1971
Hissar,Hisar,1961,1971,Haryana,High,Pending,Bifurcation,1971
Hissar,Hisar,1961,1971,Haryana,High,Pending,Bifurcation,1971
Hissar,Hisar,1961,1971,Haryana,High,Pending,Bifurcation,1971
Hissar,Hisar,1961,1971,Haryana,High,Pending,Bifurcation,1971
Karnal,Kurukshetra,1971,1981,Haryana,High,Pending,Bifurcation,1981
Karnal,Kurukshetra,1971,1981,Haryana,High,Pending,Bifurcation,1981
Karnal,Panipat,1981,1991,Haryana,High,Pending,Bifurcation,1991
Kurukshetra,Kaithal,1981,1991,Haryana,High,Pending,Bifurcation,1991
Mahendragarh,Rewari,1981,1991,Haryana,High,Pending,Bifurcation,1991
Mewat,Nuh,2011,2024,Haryana,High,Pending,Bifurcation,2024
Mohindergarh,Mahendragarh,1951,1961,Haryana,High,Pending,Bifurcation,1961
Mohindergarh,Mahendragarh,1951,1961,Haryana,High,Pending,Bifurcation,1961
Rohtak,Karnal,1971,1981,Haryana,High,Pending,Bifurcation,1981
Rohtak,Sonipat,1971,1981,Haryana,High,Pending,Bifurcation,1981
Rohtak,Jhajjar,1991,2001,Haryana,High,Pending,Bifurcation,2001
Sangrur,Jind,1961,1971,Haryana,High,Pending,Bifurcation,1971
Ahmadabad,Botad,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Ahmedabad,Ahmadabad,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Ahmedabad,Gandhinagar,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Ahmedabad,Ahmadabad,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Banaskantha,Banas Kantha,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Baroda,Vadodara,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Baroda,Vadodara,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Bharuch,Narmada,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Bhavnagar,Botad,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Broach,Bharuch,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Broach,Bharuch,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Central Saurashtra,Rajkot,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Central Saurashtra,Rajkot,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Dangs,The Dangs,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Gohilwad,Bhavnagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Gohilwad,Bhavnagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Halar,Jamnagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Halar,Jamnagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Halar,Jamnagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Jamnagar,Devbhumi Dwarka,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Jamnagar,Morbi,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Junagadh,Porbandar,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Junagadh,Gir Somnath,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Kaira,Kheda,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Kaira,Kheda,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Kaira,Kheda,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Kheda,Anand,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Kheda,Mahisagar,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Kutch,Kachchh,1971,1981,Gujarat,High,Pending,Bifurcation,1981
Mahesana,Patan,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Mehsana,Gandhinagar,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Mehsana,Mahesana,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Mehsana,Mahesana,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Panch Mahals,Panchmahals,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Panch Mahals,Panchmahals,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Panch Mahals,Panchmahals,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Panch Mahals,Dohad,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Panch Mahals,Mahisagar,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Panchmahals,Panch Mahals,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Panchmahals,Panch Mahals,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Panchmahals,Panch Mahals,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Rajkot,Morbi,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Sabar Kantha,Aravalli,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Sabarkantha,Sabar Kantha,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Sabarkantha,Sabar Kantha,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Sorath,Junagadh,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Sorath,Junagadh,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Sorath,Junagadh,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Surat,Valsad,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Surat,Valsad,1961,1971,Gujarat,High,Pending,Bifurcation,1971
Surat,Tapi,2001,2011,Gujarat,High,Pending,Bifurcation,2011
Surendranagar,Morbi,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Vadodara,Chhota Udepur,2011,2024,Gujarat,High,Pending,Bifurcation,2024
Valsad,Navsari,1991,2001,Gujarat,High,Pending,Bifurcation,2001
Zalawad,Surendranagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Zalawad,Surendranagar,1951,1961,Gujarat,High,Pending,Bifurcation,1961
Goa,North Goa,1981,1991,Goa,High,Pending,Bifurcation,1991
Goa,South Goa,1981,1991,Goa,High,Pending,Bifurcation,1991
Delhi,North West,1991,2001,Delhi,High,Pending,Bifurcation,2001
Delhi,South,1991,2001,Delhi,High,Pending,Bifurcation,2001
Delhi,North East,1991,2001,Delhi,High,Pending,Bifurcation,2001
Delhi,East,1991,2001,Delhi,High,Pending,Bifurcation,2001
Delhi,South West,1991,2001,Delhi,High,Pending,Bifurcation,2001
East,Shahdara,2011,2024,Delhi,High,Pending,Bifurcation,2024
North East,Shahdara,2011,2024,Delhi,High,Pending,Bifurcation,2024
North West,North,2011,2024,Delhi,High,Pending,Bifurcation,2024
South,South East,2011,2024,Delhi,High,Pending,Bifurcation,2024
South West,New Delhi,2011,2024,Delhi,High,Pending,Bifurcation,2024
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2001,2011,Dadara & Nagar Havelli,High,Pending,Bifurcation,2011
Bastar,Kanker,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bastar,Dantewada,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bastar,Dantewada,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bastar,Dantewada,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bastar,Narayanpur,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Bastar,Kondagaon,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Bilaspur,Korba,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bilaspur,Janjgir-Champa,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Bilaspur,Mungeli,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Bilaspur,Gaurela-Pendra-Marwahi,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Dakshin Bastar Dantewada,Sukma,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Dantewada,Dakshin Bastar Dantewada,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Dantewada,Bijapur,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Dantewada,Dakshin Bastar Dantewada,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Durg,Raj Nandgaon,1971,1981,Chhattisgarh,High,Pending,Bifurcation,1981
Durg,Raj Nandgaon,1971,1981,Chhattisgarh,High,Pending,Bifurcation,1981
Durg,Balod,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Durg,Bemetara,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Kanker,Uttar Bastar Kanker,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Kawardha,Kabeerdham,2001,2011,Chhattisgarh,High,Pending,Bifurcation,2011
Raigarh,Jashpur,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Raipur,Mahasamund,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Raipur,Dhamtari,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Raipur,Baloda Bazar,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Raipur,Gariyaband,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Raj Nandgaon,Kawardha,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Raj Nandgaon,Rajnandgaon,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Surguja,Koriya,1991,2001,Chhattisgarh,High,Pending,Bifurcation,2001
Surguja,Balrampur,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Surguja,Surajpur,2011,2024,Chhattisgarh,High,Pending,Bifurcation,2024
Ambala,Chandigarh,1961,1971,Chandigarh,High,Pending,Bifurcation,1971
Bhagalpur,Banka,1991,2001,Bihar,High,Pending,Bifurcation,2001
Bhojpur,Buxar,1991,2001,Bihar,High,Pending,Bifurcation,2001
Champaran,Pashchim Champaran,1971,1981,Bihar,High,Pending,Bifurcation,1981
Champaran,Purba Champaran,1971,1981,Bihar,High,Pending,Bifurcation,1981
Darbhanga,Madhubani,1971,1981,Bihar,High,Pending,Bifurcation,1981
Darbhanga,Samastipur,1971,1981,Bihar,High,Pending,Bifurcation,1981
Gaya,Aurangabad,1971,1981,Bihar,High,Pending,Bifurcation,1981
Gaya,Nawada,1971,1981,Bihar,High,Pending,Bifurcation,1981
Gaya,Jehanabad,1981,1991,Bihar,High,Pending,Bifurcation,1991
Gaya,Jehanabad,1981,1991,Bihar,High,Pending,Bifurcation,1991
Jehanabad,Arwal,2001,2011,Bihar,High,Pending,Bifurcation,2011
Monghyr,Begusarai,1971,1981,Bihar,High,Pending,Bifurcation,1981
Monghyr,Munger,1971,1981,Bihar,High,Pending,Bifurcation,1981
Monghyr,Munger,1971,1981,Bihar,High,Pending,Bifurcation,1981
Monghyr,Munger,1971,1981,Bihar,High,Pending,Bifurcation,1981
Monghyr,Munger,1971,1981,Bihar,High,Pending,Bifurcation,1981
Monghyr,Munger,1971,1981,Bihar,High,Pending,Bifurcation,1981
Munger,Khagaria,1981,1991,Bihar,High,Pending,Bifurcation,1991
Munger,Lakhisarai,1991,2001,Bihar,High,Pending,Bifurcation,2001
Munger,Sheikhpura,1991,2001,Bihar,High,Pending,Bifurcation,2001
Munger,Jamui,1991,2001,Bihar,High,Pending,Bifurcation,2001
Muzaffarpur,Sitamarhi,1971,1981,Bihar,High,Pending,Bifurcation,1981
Muzaffarpur,Sitamarhi,1971,1981,Bihar,High,Pending,Bifurcation,1981
Muzaffarpur,Vaishali,1971,1981,Bihar,High,Pending,Bifurcation,1981
Nawada,Nawadah,1981,1991,Bihar,High,Pending,Bifurcation,1991
Nawadah,Nawada,1991,2001,Bihar,High,Pending,Bifurcation,2001
Patna,Nalanda,1971,1981,Bihar,High,Pending,Bifurcation,1981
Purnea,Purnia,1971,1981,Bihar,High,Pending,Bifurcation,1981
Purnea,Purnia,1971,1981,Bihar,High,Pending,Bifurcation,1981
Purnea,Purnia,1971,1981,Bihar,High,Pending,Bifurcation,1981
Purnea,Katihar,1971,1981,Bihar,High,Pending,Bifurcation,1981
Purnia,Araria,1981,1991,Bihar,High,Pending,Bifurcation,1991
Purnia,Kishanganj,1981,1991,Bihar,High,Pending,Bifurcation,1991
Rohtas,Kaimur (Bhabua),1991,2001,Bihar,High,Pending,Bifurcation,2001
Saharsa,Madhepura,1981,1991,Bihar,High,Pending,Bifurcation,1991
Saharsa,Supaul,1991,2001,Bihar,High,Pending,Bifurcation,2001
Saran,Gopalganj,1971,1981,Bihar,High,Pending,Bifurcation,1981
Saran,Siwan,1971,1981,Bihar,High,Pending,Bifurcation,1981
Shahabad,Bhojpur,1971,1981,Bihar,High,Pending,Bifurcation,1981
Shahabad,Bhojpur,1971,1981,Bihar,High,Pending,Bifurcation,1981
Shahabad,Rohtas,1971,1981,Bihar,High,Pending,Bifurcation,1981
Shahabad,Rohtas,1971,1981,Bihar,High,Pending,Bifurcation,1981
Sitamarhi,Sheohar,1991,2001,Bihar,High,Pending,Bifurcation,2001
Baksa,Tamulpur,2011,2024,Assam,High,Pending,Bifurcation,2024
Barpeta,Baksa,2001,2011,Assam,High,Pending,Bifurcation,2011
Barpeta,Bajali,2011,2024,Assam,High,Pending,Bifurcation,2024
Bongaigaon,Chirang,2001,2011,Assam,High,Pending,Bifurcation,2011
Cachar,Karimganj,1981,1991,Assam,High,Pending,Bifurcation,1991
Cachar,Hailakandi,1981,1991,Assam,High,Pending,Bifurcation,1991
Darrang,Sonitpur,1981,1991,Assam,High,Pending,Bifurcation,1991
Darrang,Sonitpur,1981,1991,Assam,High,Pending,Bifurcation,1991
Darrang,Baksa,2001,2011,Assam,High,Pending,Bifurcation,2011
Darrang,Udalguri,2001,2011,Assam,High,Pending,Bifurcation,2011
Darrang,Baksa,2001,2011,Assam,High,Pending,Bifurcation,2011
Dhubri,South Salmara-Mankachar,2011,2024,Assam,High,Pending,Bifurcation,2024
Dhuburi,Dhubri,2001,2011,Assam,High,Pending,Bifurcation,2011
Dhuburi,Dhubri,2001,2011,Assam,High,Pending,Bifurcation,2011
Dibrugarh,Tinsukia,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Kokrajhar,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Kokrajhar,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Dhuburi,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Bongaigaon,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Bongaigaon,1981,1991,Assam,High,Pending,Bifurcation,1991
Goalpara,Dhuburi,1981,1991,Assam,High,Pending,Bifurcation,1991
Jorhat,Majuli,2011,2024,Assam,High,Pending,Bifurcation,2024
Kamrup,Barpeta,1981,1991,Assam,High,Pending,Bifurcation,1991
Kamrup,Nalbari,1981,1991,Assam,High,Pending,Bifurcation,1991
Kamrup,Barpeta,1981,1991,Assam,High,Pending,Bifurcation,1991
Kamrup,Nalbari,1981,1991,Assam,High,Pending,Bifurcation,1991
Kamrup,Barpeta,1981,1991,Assam,High,Pending,Bifurcation,1991
Kamrup,Kamrup Metropolitan,2001,2011,Assam,High,Pending,Bifurcation,2011
Kamrup,Baksa,2001,2011,Assam,High,Pending,Bifurcation,2011
Karbi Anglong,West Karbi Anglong,2011,2024,Assam,High,Pending,Bifurcation,2024
Kokrajhar,Chirang,2001,2011,Assam,High,Pending,Bifurcation,2011
Lakhimpur,Dibrugarh,1971,1981,Assam,High,Pending,Bifurcation,1981
Lakhimpur,Dibrugarh,1971,1981,Assam,High,Pending,Bifurcation,1981
Lakhimpur,Dhemaji,1981,1991,Assam,High,Pending,Bifurcation,1991
Marigaon,Morigaon,2001,2011,Assam,High,Pending,Bifurcation,2011
Mikir Hills,Karbi Anglong,1971,1981,Assam,High,Pending,Bifurcation,1981
Mikir Hills,Karbi Anglong,1971,1981,Assam,High,Pending,Bifurcation,1981
Nagaon,Marigaon,1981,1991,Assam,High,Pending,Bifurcation,1991
Nagaon,Hojai,2011,2024,Assam,High,Pending,Bifurcation,2024
Nalbari,Baksa,2001,2011,Assam,High,Pending,Bifurcation,2011
North Cachar Hills,Dima Hasao,2001,2011,Assam,High,Pending,Bifurcation,2011
Nowgong,Nagaon,1971,1981,Assam,High,Pending,Bifurcation,1981
Nowgong,Nagaon,1971,1981,Assam,High,Pending,Bifurcation,1981
Nowgong,Nagaon,1971,1981,Assam,High,Pending,Bifurcation,1981
Sibsagar,Jorhat,1981,1991,Assam,High,Pending,Bifurcation,1991
Sibsagar,Golaghat,1981,1991,Assam,High,Pending,Bifurcation,1991
Sibsagar,Jorhat,1981,1991,Assam,High,Pending,Bifurcation,1991
Sibsagar,Sivasagar,2001,2011,Assam,High,Pending,Bifurcation,2011
Sibsagar,Sivasagar,2001,2011,Assam,High,Pending,Bifurcation,2011
Sivasagar,Charaideo,2011,2024,Assam,High,Pending,Bifurcation,2024
Sonitpur,Biswanath,2011,2024,Assam,High,Pending,Bifurcation,2024
United Mikir and North Cachar Hills,Mikir Hills,1961,1971,Assam,High,Pending,Bifurcation,1971
United Mikir and North Cachar Hills,North Cachar Hills,1961,1971,Assam,High,Pending,Bifurcation,1971
United Mikir and North Cachar Hills,Mikir Hills,1961,1971,Assam,High,Pending,Bifurcation,1971
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Kameng Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Balipara Frontier Tract,Subansiri Frontier,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Dibang Valley,Lower Dibang Valley,2001,2011,Arunachal Pradesh,High,Pending,Bifurcation,2011
East Kameng,Pakke-Kesang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
East Siang,Upper Siang,1991,2001,Arunachal Pradesh,High,Pending,Bifurcation,2001
East Siang,Siang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
East Siang,Lower Siang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
East Siang,Lepa - Rada,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Kameng,West Kameng,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Kameng,West Kameng,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Kameng,East Kameng,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Kameng,East Kameng,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Kameng Frontier,Kameng,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Kameng Frontier,Kameng,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Kameng Frontier,Kameng,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Kameng Frontier,Kameng,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Kurung Kumey,Kra Daadi,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Lohit,Anjaw,2001,2011,Arunachal Pradesh,High,Pending,Bifurcation,2011
Lohit,Namsai,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Lohit Frontier Division,Lohit,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Lohit Frontier Division,Lohit,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Lohit Frontier Division,Lohit,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Lower Subansiri,Papum Pare,1991,2001,Arunachal Pradesh,High,Pending,Bifurcation,2001
Lower Subansiri,Kurung Kumey,2001,2011,Arunachal Pradesh,High,Pending,Bifurcation,2011
Lower Subansiri,Kurung Kumey,2001,2011,Arunachal Pradesh,High,Pending,Bifurcation,2011
Lower Subansiri,Kamle,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Mishmi Hills,Lohit Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Mishmi Hills,Lohit Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Mishmi Hills,Lohit Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,West Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,East Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,East Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,East Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,East Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang,East Siang,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Siang Frontier Division,Siang,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri,Lower Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Upper Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Upper Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Lower Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Lower Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Lower Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri,Lower Subansiri,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Subansiri Frontier,Subansiri,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap,Dibang Valley,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Tirap,Dibang Valley,1971,1981,Arunachal Pradesh,High,Pending,Bifurcation,1981
Tirap,Changlang,1981,1991,Arunachal Pradesh,High,Pending,Bifurcation,1991
Tirap,Longding,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Tirap Frontier Division,Tirap,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap Frontier Division,Tirap,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap Frontier Division,Tirap,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap Frontier Division,Tirap,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap Frontier Division,Tirap,1961,1971,Arunachal Pradesh,High,Pending,Bifurcation,1971
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
